Country,EffectiveDate,ModelYear,AlgCode,ChromeStyleId,IsPrimary
US,2022-07-01,2023,020125138,429173,1
US,2022-07-01,2023,020125145,429174,1
US,2022-07-01,2023,020125150,429175,1
US,2022-07-01,2023,020125155,429176,1
US,2022-07-01,2023,040150110,427828,1
US,2022-07-01,2023,040150120,427832,1
US,2022-07-01,2023,040150130,427829,1
US,2022-07-01,2023,040150130,427835,0
US,2022-07-01,2023,040150140,427833,1
US,2022-07-01,2023,040150140,427836,0
US,2022-07-01,2023,040150142,427830,1
US,2022-07-01,2023,040150144,427834,1
US,2022-07-01,2023,040150150,427831,1
US,2022-07-01,2023,040160106,427857,1
US,2022-07-01,2023,040160110,427853,1
US,2022-07-01,2023,040160120,427854,1
US,2022-07-01,2023,040160120,427858,0
US,2022-07-01,2023,040160130,427855,1
US,2022-07-01,2023,040160160,427856,1
US,2022-07-01,2023,080108115,428554,1
US,2022-07-01,2023,080108120,428555,1
US,2022-07-01,2023,080108134,428556,1
US,2022-07-01,2023,080108136,428557,1
US,2022-07-01,2023,080109108,428429,1
US,2022-07-01,2023,080109110,428430,1
US,2022-07-01,2023,080109115,428431,1
US,2022-07-01,2023,080128102,428271,1
US,2022-07-01,2023,080128110,428273,1
US,2022-07-01,2023,080128114,428272,1
US,2022-07-01,2023,080128115,428274,1
US,2022-07-01,2023,080128121,428276,1
US,2022-07-01,2023,080128127,428275,1
US,2022-07-01,2023,080129105,428277,1
US,2022-07-01,2023,080129110,428278,1
US,2022-07-01,2023,080129115,428279,1
US,2022-07-01,2023,080130108,428269,1
US,2022-07-01,2023,080130110,428267,1
US,2022-07-01,2023,080130120,428268,1
US,2022-07-01,2023,080143105,428509,1
US,2022-07-01,2023,080144105,428508,1
US,2022-07-01,2023,080270135,428558,1
US,2022-07-01,2023,080270140,428559,1
US,2022-07-01,2023,080270155,428560,1
US,2022-07-01,2023,080271110,428280,1
US,2022-07-01,2023,080271120,428281,1
US,2022-07-01,2023,080272110,428428,1
US,2022-07-01,2023,120405110,426889,1
US,2022-07-01,2023,120405120,426890,1
US,2022-07-01,2023,120405130,426891,1
US,2022-07-01,2023,120406110,426892,1
US,2022-07-01,2023,120406120,426893,1
US,2022-07-01,2023,120406130,426894,1
US,2022-07-01,2023,120422118,427232,1
US,2022-07-01,2023,120422120,427233,1
US,2022-07-01,2023,120422125,427234,1
US,2022-07-01,2023,120427118,427235,1
US,2022-07-01,2023,120427120,427236,1
US,2022-07-01,2023,120427125,427237,1
US,2022-07-01,2023,140170110,427814,1
US,2022-07-01,2023,140170120,427817,1
US,2022-07-01,2023,140170130,427820,1
US,2022-07-01,2023,140170150,427638,1
US,2022-07-01,2023,140170160,427641,1
US,2022-07-01,2023,140180110,427876,1
US,2022-07-01,2023,140180120,427879,1
US,2022-07-01,2023,140180130,427882,1
US,2022-07-01,2023,140180150,428017,1
US,2022-07-01,2023,140180170,428020,1
US,2022-07-01,2023,140280120,427623,1
US,2022-07-01,2023,140280125,427624,1
US,2022-07-01,2023,140280130,427625,1
US,2022-07-01,2023,140281120,427626,1
US,2022-07-01,2023,140281125,427627,1
US,2022-07-01,2023,140281130,427628,1
US,2022-07-01,2023,140370108,427614,1
US,2022-07-01,2023,140370110,427615,1
US,2022-07-01,2023,140372108,427616,1
US,2022-07-01,2023,140372110,427617,1
US,2022-07-01,2023,140372118,427618,1
US,2022-07-01,2023,140380110,427359,1
US,2022-07-01,2023,140380120,427360,1
US,2022-07-01,2023,140382110,427361,1
US,2022-07-01,2023,140382120,427362,1
US,2022-07-01,2023,140382130,427363,1
US,2022-07-01,2023,160326105,426899,1
US,2022-07-01,2023,160326110,426900,1
US,2022-07-01,2023,160350110,427717,1
US,2022-07-01,2023,160350120,427718,1
US,2022-07-01,2023,160350123,427725,1
US,2022-07-01,2023,160350125,427719,1
US,2022-07-01,2023,160350130,427726,1
US,2022-07-01,2023,160350133,427720,1
US,2022-07-01,2023,160350136,427727,1
